League,Week,Game,Score,Venue,Time to Equalise,Team Scored First,Winning Team,
Ligue 1,1,Rennes v Lille,1v3,A,2,Rennes,Lille,
Eredivisie,1,Zwolle v Heerenveen,2v3,H,4,Zwolle,Heerenveen,
EPL,3,Southampton v Leicester,1v2,H,4,Southampton,Leicester,
EPL,3,West Ham v Arsenal,1v3,A,5,West Ham,Arsenal,
Serie A,3,Genoa v Sass Calcio,3v5,A,7,Genoa,Sass Calcio,
Primera,3,Sociedad v Eibar,1v2,A,11,Sociedad,Eibar,
Bundesliga,2,Leverkusen v Wolfsburg,1v3,H,12,Leverkusen,Wolfsburg,
Ligue 1,4,Strasbourg v Nantes,2v3,H,13,Strasbour,Nantes,
Primera,3,Huesca v Barcelona,2v8,A,13,Huesca,Barcelona,
Bundesliga,2,Freiburg v Hoffenheim,1v3,A,14,Feiburg,Hoffenheim,
Primera,3,Espanyol v Alaves,1v2,A,15,Espanyol,Alaves,
EPL,4,Tottenham v Watford,1v2,A,16,Tottenham,Watford,
Bundesliga,1,Dusseldorf v Augsburg,1v2,H,18,Dusseldorf,Augsburg,
Serie A,2,Milan v Napoli,2v3,A,18,Milan,Napoli,
Eredivisie,4,Alkmaar v Almelo,2v3,A,19,Alkmaar,Almelo,
Serie A,1,Lazio v Napoli,1v2,H,20,Lazio,Napoli,
Bundesliga,1,Leipzig v Dortmund,1v4,A,20,Leipzig,Dortmund,
Primera,2,Girona v Real Madrid,1v4,H,22,Girona,Real Madrid,
Primera,1,Villareal v Real Sociedad,1v2,H,23,Villareal,Real Sociedad,
EPL,2,West Ham v Bournemouth,1v2,H,27,West Ham,Bournemouth,Milan 2v0
Ligue 1,2,Guingamp v PSG,1v3,H,33,Guingamp,PSG,
Ligue 1,1,Montpellier v Dijon,1v2,H,47,Montpellier,Dijon,
