Week,Game,Score,Venue,Equal,TSFL,DNSFW
3,Bournemouth v Man City,1v2,H,8,Bournemoth,Man City
5,Brighton v Bournemouth,1v2,A,12,Brighton,Bournemouth
6,Bournemouth v Everton,1v2,A,28,Bournemouth,Everton
8,Arsenal v Watford,1v2,A,32,Arsenal,Watford
9,Everton v Arsenal,2v5,H,28,Everton,Arsenal
10,Swansea v Arsenal,1v2,A,29,Swansea,Arsenal
11,Watford v Everton,2v3,A,67,Watford,Everton
12,Newcastle v Man Utd,1v4,A,23,Newcastle,Man Utd
13,Stoke v Crystal Palace,1v2,A,3,Stoke,Crystal Palace
15,Newcastle v Chelsea,1v3,A,9,Newcastle,Chelsea
15,Swansea v Stoke,1v2,A,33,Swansea,Stoke
15,West Ham v Man City,1v2,A,13,West Ham,Man City
16,Newcastle v Leicester,2v3,H,16,Newcastle,Leicester
17,Watford v Crystal Palace,1v2,A,86,Watford,Crystal Palace
18,Swansea v Everton,1v3,A,10,Swansea,Everton
19,West Ham v Newcastle,2v3,H,4,West Ham,Newcastle
20,Leicester v Watford,1v2,A,8,Leicester,Watford
21,Watford v Swansea,1v2,H,75,Watford,Swansea
22,Southampton v Crystal Palace,1v2,H,52,Southampton,Crystal Palace
22,West Brom v West Ham,1v2,A,29,West Brom,West Ham
23,Arsenal v Bournemouth,1v2,A,18,Arsenal,Bournemouth
25,Arsenal v Swansea,1v3,A,1,Arsenal,Swansea
26,Stoke v Bournemouth,1v2,A,65,Stoke,Bournemouth
26,West Brom v Southampton,2v3,H,36,West Brom,Southampton
28,Chelsea v Man Utd,1v2,A,7,Chelsea,Man Utd
29,Everton v Burnley,1v2,A,36,Everton,Burnley
29,Crystal Palace v Man Utd,2v3,H,76,Crystal Palace,Man Utd
30,West Brom v Leicester,1v4,H,13,West Brom,Leicester
30,Bournemouth v Tottenham,1v4,H,28,Bournemouth,Tottenham
31,West Brom v Bournemouth,1v2,A,28,West Brom,Bournemouth
32,Crystal Palace v Liverpool,1v2,H,36,Crystal Palace,Liverpool
32,Chelsea v Tottenham,1v3,H,15,Chelsea,Tottenham
33,Watford v Burnley,1v2,H,9,Watford,Burnley
33,Man City v Man Utd,2v3,H,53,Man City,Man Utd
33,Southampton v Arsenal,2v3,A,11,Southampton,Arsenal
34,Southampton v Chelsea,2v3,H,70,Southampton,Chelsea
34,Arsenal v Newcastle,1v2,A,15,Arsenal,Newcastle
37,Stoke v Crystal Palace,1v2,H,25,Stoke,Crystal Palace
38,Burnley v Bournemouth,1v2,H,35,Burnley,Bournemouth
38,Swansea v Stoke,1v2,H,17,Swansea,Stoke
38,Leicester v Tottenham,4v5,A,3,Leicester,Tottenham
